法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
有限会社アルファ薬局おおきくなあ～れプチべべ保育室,神奈川県横浜市保土ケ谷区西久保町１５グランデイシンヤ１Ｆ,"神奈川県横浜市保土ケ谷区西久保町１５グランデイシンヤ１Ｆ
相鉄本線 天王町駅から徒歩で3分
相鉄本線 西横浜駅から徒歩で8分
JR横須賀線 保土ケ谷駅から徒歩で11分",保育補助・連絡帳記入・清掃・玩具の消毒等,,"月給 192,000円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：あり ,(1)9時00分〜18時00分 (2)8時00分〜17時00分 (3)8時30分〜17時30分 休憩60分 時間外勤務：なし ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5848455/"
セカンドプレイス株式会社,鹿児島県姶良市加治木町本町１４７番地１,"鹿児島県姶良市加治木町本町１４７番地１
JR日豊本線(佐伯～鹿児島中央) 加治木駅から徒歩で11分
JR日豊本線(佐伯～鹿児島中央) 錦江駅から徒歩で18分",療育が必要な子どもたちの成長をサポートするお仕事です。一番大切な仕事は、子どもたちと楽しく遊ぶ事です。楽しい遊びや活動の中に成長を促す要素を組み込んでいきます。子どもたちの未来をイメージして、その工夫を考える事が一番やるべき事です。＊支援以外の業務として、日々頑張られているご家族向けのイベントや社会とのつながりをつくるイベントの企画、実施などがあります。＊定型の業務として、送迎や書類作り、担当者会議の参加などがあります。※社用車（ＡＴ車）使用しての送迎あり,,"月給 192,000円 〜 222,000円",,"通勤手当： 毎月 10,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)9時00分〜18時00分 休憩60分 時間外勤務：あり ,年間休日数 108日,,"
https://job-medley.com/cw/hw/5849769/"
社会福祉法人東和福祉会平和保育園,沖縄県那覇市長田２丁目－３４－４１,"沖縄県那覇市長田２丁目－３４－４１
ゆいレール 安里駅から徒歩で29分",※０～５歳児の園児（定員１００名）※０～５歳児のクラス担任へ配置予定（相談可能）※ＩＣＴの活用（登降園管理・帳票管理・おたより機能等）◎パソコン操作が不慣れな方も丁寧に指導いたします。（手書きでも対応可能）◎乳幼児保育…子ども一人ひとりにより沿い、子どもの自主性を尊重し、自由にのびのびと育つよう援助する保育を目指していきます。◎複数担任クラスで、仕事に慣れてもらいますので、経験なしやブランクがある方も安心して働くことができます。◎子育て中の方でも安心して働けるようサポートいたします。,,"月給 192,000円 〜 207,000円",,"通勤手当： 毎月 5,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 シフト勤務（時間は相談可） 休憩60分 時間外勤務：なし ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5849807/"
山形県立最上学園,山形県新庄市松本５５－１,"山形県新庄市松本５５－１
山形新幹線 新庄駅から徒歩で20分
JR奥羽本線(新庄～青森) 新庄駅から徒歩で20分
山形線 新庄駅から徒歩で20分","◎最上学園に入所している知的障がい児の療育支援を担当
していただきます。
◎４週間（２８日間）で２０日間の勤務となります。
※最上学園は、児童福祉法に基づく福祉型障がい児入所施設で、
４才から１７才までの１８名が入所しています。",,"月給 192,000円 〜 268,500円",,"通勤手当： 毎月 37,200円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜17時15分 (2)16時30分〜1時15分 (3)0時30分〜9時15分 ※夜勤は、月に多くて８回を想定しています。 休憩60分 時間外勤務：あり ,年間休日数 121日,,"
https://job-medley.com/cw/hw/5804571/"
社会福祉法人青い鳥,神奈川県横浜市神奈川区西神奈川１－９－１,"神奈川県横浜市神奈川区西神奈川１－９－１
JR横浜線 東神奈川駅から徒歩で4分
JR京浜東北線 東神奈川駅から徒歩で4分
京急本線 京急東神奈川駅から徒歩で9分","障害児の療育・保育業務《就業場所》
保育士・児童指導員の経験あれば尚可◆横浜市東部地域療育センター／横浜市神奈川区東神奈川１－２９◆児童発達支援事業所「パレット」／横浜市鶴見区鶴見中央５－４－１０５◆相談ルームいろは／横浜市鶴見区鶴見中央４－８－５◆横浜市中部地域療育センター／横浜市南区清水ケ丘４９◆児童発達支援事業所「フルール」／横浜市中区山吹町１－３◆横浜市南部地域療育センター／横浜市磯子区杉田５－３２－２０◆児童発達支援事業所「はらっぱ」／横浜市磯子区中原１－１－５◇川崎西部地域療育センター／川崎市宮前区平２－６－１◇児童発達支援事業所「アエル」／川崎市宮前区馬絹６－６－９／川崎市多摩区西生田２－１－２０◇横須賀市療育相談センター／横須賀市小川町１６",,"月給 192,000円 〜 360,000円",,"通勤手当： 毎月 55,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",(1)8時45分〜17時15分 (2)8時30分〜17時00分 始業・終業時間は配属先により異なりますが、就労時間は同じです 休憩60分 時間外勤務：あり ,年間休日数 123日,,"
https://job-medley.com/cw/hw/5765073/"
学校法人村上恵泉学園,新潟県村上市山居町２－１０－２３,"新潟県村上市山居町２－１０－２３
JR羽越本線 村上駅から徒歩で18分","○「認定こども園」の為、「幼稚園部」「保育園部」の仕事にわか
れます。○園児の生活全般のお世話をしながら、心身の発達を促し社会性を
養う。○園児の食事や睡眠・排泄・清潔・衣服の着脱などの基本的な生活
習慣を身に着けさせる。○朝礼（８：００～）・開園の準備、部屋の整頓、園児の保護者の
お迎え・お見送り、後片付け、戸締まり○会議や連絡帳などの諸連絡の記入",,"月給 192,000円 〜 197,000円",,"通勤手当： 毎月 8,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時30分〜16時30分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 ＊１日交替のシフト制 休憩60分 時間外勤務：なし ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5745816/"
社会福祉法人花輪ふくし会,秋田県鹿角市花輪字案内６３−１,"秋田県鹿角市花輪字案内６３−１
十和田八幡平四季彩ライン 鹿角花輪駅から徒歩で28分","●社会福祉法人花輪ふくし会は、障害者（児）入所施設・グループホームでの生活支援及び就労・軽作業・日中活動支援、老人福祉
施設での身体介護・生活介護等を提供します。
【主な仕事内容】
・児童の生活訓練、作業訓練に係る業務
・児童の食事・入浴・排泄等の介助、介護業務
・児童の自立のための日中活動支援
・児童の送迎業務、その他付随する業務
【働き方改革関連認定企業】秋田男女イキイキ職場宣言事業所",,"月給 192,000円",,"通勤手当：月額 24,900円 毎月 月額まで マイカー通勤可否：可 昇給：あり 賞与：あり ",(1)8時30分〜17時30分 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5750892/"
医療法人さくら会さくらクリニック,和歌山県海南市名高１４０－１,"和歌山県海南市名高１４０－１
きのくに線 海南駅から徒歩で6分","◎障がい者児デイサービスにおける保育業務○紀北支援学校の生徒の放課後、学校休校日の保育○基本的に平日は授業終了後、土曜日、祝日、長期休暇等は朝から
の保育となります。○学校⇒クリニックの送迎＊１日当たり利用者数：定員１５名、平均１０名程度＊付随業務として託児所及び生活介護での業務。☆経験者優遇＊事業所の託児施設が利用可能です。",,"月給 192,000円 〜 217,000円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)8時30分〜18時00分 (2)9時00分〜18時00分 (3)12時00分〜20時00分 ※シフト勤務（３）は慣れてからの勤務となります（月１、２回程度） 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5726766/"
株式会社サン・スタッフ松本,長野県松本市蟻ケ崎２丁目６番２号ＫＰビル１Ｆ,"長野県松本市蟻ケ崎２丁目６番２号ＫＰビル１Ｆ
北アルプス線 北松本駅から徒歩で13分
上高地線 松本駅から徒歩で18分
北アルプス線 松本駅から徒歩で19分","＊託児所（松本市内）において保育全般のお仕事をして頂きます。
＊子供の受け入れ、お見送り、保護者対応、ミルク・食事サポート
おむつ交換、トイレサポート
＊お散歩、子供の発達に必要な遊びで子供たちと遊ぶ。
応募の方はハローワーク照会状をお持ち下さい。",,"月給 192,000円",,通勤手当： マイカー通勤可否：可 駐車場 あり 昇給：なし 賞与：なし ,(1)13時00分〜22時00分 休憩60分 時間外勤務：あり ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5730081/"
株式会社ＮａｏＰｌａｎ,長崎県諫早市多良見町化屋５０９－６内野ビル２Ｆ,"長崎県諫早市多良見町化屋５０９－６内野ビル２Ｆ
JR長崎本線(鳥栖～長崎) 喜々津駅から徒歩で4分","○放課後や学校休日に通ってくる障がいをもつ児童に対し
療育や学習指導・運動指導を行う。＊送迎あり（軽自動車か、８人乗りボックスワゴン）＊就業時間＝（１）（２）（３）のシフト制＊利用児童の状況により就業時間の変更あり◎面接の際には、ハローワークの紹介状が必要です。",,"月給 192,000円 〜 212,000円",,"通勤手当： 毎月 10,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)10時00分〜18時30分 (2)9時00分〜17時30分 (3)8時30分〜17時00分 ＊シフト制 休憩60分 時間外勤務：なし ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5734890/"
一般社団法人ＨｏｌｄＨａｎｄｓＧｒｏｕｐＫＢ,京都府京都市左京区川端通二条下ル孫橋町１３,"京都府京都市左京区川端通二条下ル孫橋町１３
京都市営地下鉄東西線 三条京阪駅から徒歩で6分
京阪本線 三条駅から徒歩で4分
京阪鴨東線 三条駅から徒歩で4分","新規オープンです！一緒に楽しい保育園を作りませんか！
保育園（内閣府所管小規模保育事業）での乳児・幼児保育やその保育に関する業務（０歳児〜５歳児）、雑事等。
＊保育及び保育に関する経験。また習得されたこと、調理など得意
分野を発揮してください。
＊アットホームの中、行われる季節行事や活動、交流に対するサポ
ートをお願いします。
＊子ども達を基にご家族全体を見守る楽しい保育室を目指していま
す。
＊行事等のサポート
＊その他、子育てサポート活動あり。
※オープンまでは近くの施設やオープン手伝いでの勤務可",,"月給 192,000円 〜 303,000円",,"通勤手当：月額 15,000円 15000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時30分〜16時30分 (2)8時30分〜17時30分 (3)9時00分〜18時00分 ＊７：３０〜１８：３０の間のシフト制　　＊（１）〜（３）はシフト例　　＊半日勤務の場合あり 休憩60分 時間外勤務：なし ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5730823/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●企業内保育園
●一人ひとりとしっかり関われる小規模保育園
●定員１２名
●保育業務全般
（主活動、オムツ交換、食事介助、清掃など）
●子育て世代や未経験者・ブランクがある方も歓迎！
この保育園の魅力はご自身のお子様を無料で預けられること！
働きながら、ご自分のお子様を見ることも可能です！
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 192,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",１６０〜１７７時間／月　（月によって異なる）　＊シフト勤務 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5743884/"
社会福祉法人カナの会チャイルドスクエア狭山広瀬,埼玉県狭山市広瀬東３丁目３３番１１号,"埼玉県狭山市広瀬東３丁目３３番１１号
西武新宿線 狭山市駅から徒歩で24分","【令和５年４月１日に私立認可保育所として開園しました】・保育士業務全般を行っていただきます。・クラス担任としての業務を行っていただきます。（定員９０名）※新園なので仲間と一緒に園を作り上げていくことができます！
とてもやりがいのある仕事です。※園舎は木造建てで木の温もりを感じる優しい雰囲気に包まれてい
ます。たくさんの植物や季節の野菜等を育てていき、自然から四
季を感じられる豊かな環境にしたいと思います。
自然は五感を育ててくれます。優しい心を育ててくれます。みん
なが楽しく幸せをいっぱい感じる保育園を目指しています。",,"月給 192,000円 〜 261,000円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",シフト制 休憩60分 時間外勤務：なし ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5713568/"
社会福祉法人江陽会大坪保育園,宮崎県宮崎市大字恒久字野中６１００－１,"宮崎県宮崎市大字恒久字野中６１００－１
JR日豊本線(佐伯～鹿児島中央) 南宮崎駅から徒歩で19分
JR宮崎空港線 南宮崎駅から徒歩で19分
JR日南線 南宮崎駅から徒歩で19分",保育業務全般・未満児クラスの担当をしてもらいます。＊定員：１３０名（現員：１６２名）＊令和５年４月からの就業となります。,,"月給 191,842円",,"通勤手当： 毎月 24,400円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)7時30分〜16時30分 (3)8時00分〜17時00分 （４）９時００分～１８時００分（５）９時３０分～１８時３０分（１）～（５）の交替制 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5719796/"
社会福祉法人晃栄会育実こども園,群馬県太田市富若町５３０ー１,"群馬県太田市富若町５３０ー１
東武伊勢崎線 韮川駅から徒歩で22分","当園での保育教諭のお仕事を担当していただきます。
・乳幼児（０〜５歳児）の教育・保育",,"月給 191,800円 〜 202,800円",,"通勤手当：月額 7,000円 毎月 月額まで マイカー通勤可否：可 昇給：あり 賞与：あり ",(1)8時00分〜17時00分 (2)7時00分〜16時00分 (3)10時00分〜19時00分 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5893007/"
社会福祉法人光乗福祉会あさひこども園,福井県福井市栂野町２−５３,"福井県福井市栂野町２−５３
九頭竜線 六条駅から車で6分
九頭竜線 足羽駅から車で6分","＊園児の保育・教育に関する業務
◎応募の際には、ハローワークで紹介状を受けてください。",,"月給 191,800円 〜 323,500円",,"通勤手当：月額 10,000円 10000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 シフト制 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5779246/"
社会福祉法人晃栄会育実こども園,群馬県太田市富若町５３０ー１,"群馬県太田市富若町５３０ー１
東武伊勢崎線 韮川駅から徒歩で22分","当園での保育教諭のお仕事を担当していただきます。
・乳幼児（０〜５歳児）の教育・保育",,"月給 191,800円 〜 202,800円",,"通勤手当：月額 7,000円 毎月 月額まで マイカー通勤可否：可 昇給：あり 賞与：あり ",(1)8時00分〜17時00分 (2)7時00分〜16時00分 (3)10時00分〜19時00分 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5440026/"
社会福祉法人サンタマリア会ロザリオ保育園,長崎県長崎市新戸町３丁目１４番２号,"長崎県長崎市新戸町３丁目１４番２号
長崎電軌５系統 石橋駅から車で9分","＊０〜６歳児クラスの担当制で保育を行っています。
定員１１０名、保育士は２０名程度在籍しています。
＊希望する研修や園外研修などを積極的に行っています。
＊定年年齢以上の方も応募可（１年毎の更新制）
◎ハローワークの紹介状が必要です",,"月給 191,785円 〜 272,174円",,"通勤手当：月額 12,900円 12900 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)8時30分〜17時30分 （４）８：４５〜１７：４５　（５）９：００〜１８：００　（６）９：３０〜１８：３０ 休憩60分 時間外勤務：あり ,年間休日数 108日,,"
https://job-medley.com/cw/hw/5793910/"
社会福祉法人春光会おばやし保育園,埼玉県久喜市菖蒲町小林２８４８－１,"埼玉県久喜市菖蒲町小林２８４８－１
JR高崎線 北本駅から車で15分",◎将来の主任保育士候補として働いていただきます。,,"月給 191,744円 〜 312,448円",,"通勤手当： 毎月 12,900円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 休憩60分 時間外勤務：あり ,年間休日数 118日,,"
https://job-medley.com/cw/hw/5889010/"
社会福祉法人春光会おばやし保育園,埼玉県久喜市菖蒲町小林２８４８－１,"埼玉県久喜市菖蒲町小林２８４８－１
JR高崎線 北本駅から車で15分",◎私立認可保育園にて保育士の仕事をしていただきます。,,"月給 191,744円 〜 255,664円",,"通勤手当： 毎月 12,900円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)9時00分〜18時00分 休憩60分 時間外勤務：あり ,年間休日数 118日,,"
https://job-medley.com/cw/hw/5713614/"
社会福祉法人広徳会宜山ひかり保育園,広島県福山市駅家町大字上山守４５０－１２８,"広島県福山市駅家町大字上山守４５０－１２８
JR福塩線 駅家駅から徒歩で22分
JR福塩線 万能倉駅から徒歩で25分","０～５歳児の保育＊ハローワークの窓口でご相談のうえ、必ず、ハローワークの
紹介状の交付を受けていただくようお願いします。",,"月給 191,700円 〜 195,200円",,"通勤手当： 毎月 50,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜17時15分 ＊早出（７時）、延長（１９時）をお願いすることがあります（時間外で対応） 休憩45分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5849388/"
安曇野市役所,長野県安曇野市豊科６０００番地,"長野県安曇野市豊科６０００番地
北アルプス線 豊科駅から徒歩で9分
北アルプス線 南豊科駅から徒歩で22分","＊安曇野市内の市立認定こども園における保育士業務全般・遊び、食事など日常の保育・保護者からの子育てに関する相談対応・保育日誌、指導案等の記録作成
などを行います。＊施設見学は可能です。※契約は年度ごと行います。
＊応募する方は、ハローワークの紹介状をお持ちください。",,"月給 191,700円 〜 213,200円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)8時30分〜17時15分 ◆短時間勤務も相談に応じます。 休憩60分 時間外勤務：あり ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5725427/"
社会福祉法人大阪福祉事業財団すみれ乳児院,大阪府大阪市旭区新森７－８－１６,"大阪府大阪市旭区新森７－８－１６
大阪メトロ今里筋線 清水駅から徒歩で5分
大阪メトロ今里筋線 新森古市駅から徒歩で15分
京阪本線 千林駅から徒歩で16分",乳幼児の日常生活全般の支援（０才～３才未満）,,"月給 191,691円 〜 219,599円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：あり ,(1)7時00分〜15時00分 (2)11時30分〜20時00分 (3)18時10分〜8時10分 休憩（２）９０分（３）仮眠・休憩１２０分（４）６０分１３時～２１時　＊シフト制 休憩60分 時間外勤務：なし ,年間休日数 97日,,"
https://job-medley.com/cw/hw/5807908/"
特定非営利活動法人おーるまいてぃ,北海道札幌市中央区北１条西２４丁目２番２０号おーるまいてぃビル１・２Ｆ,"北海道札幌市中央区北１条西２４丁目２番２０号おーるまいてぃビル１・２Ｆ
札幌市営地下鉄東西線 円山公園駅から徒歩で6分
札幌市営地下鉄東西線 西２８丁目駅から徒歩で9分
札幌市営地下鉄東西線 西１８丁目駅から徒歩で12分","認可事業・小規模保育園（５ヶ月～２歳児・定員１２名）での乳幼児の保育業務全般に従事していただきます。●採用日：令和６年４月１日以降
＊１年更新の契約社員も可（共済なし）
ご相談ください。",,"月給 191,690円 〜 207,230円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",シフト制月平均所定労働時間１７３時間 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5800941/"
社会福祉法人道心神崎保育園,兵庫県尼崎市神崎町２７−２２,"兵庫県尼崎市神崎町２７−２２
阪急神戸本線 園田駅から徒歩で20分
JR東西線 加島駅から徒歩で27分","＊新設３年目の新園舎の中、皆で園作りに携われます。
定員も９０名と比較的少人数で落ち着いた環境の中、子ども一人
一人とじっくり関われます。",,"月給 191,650円 〜 217,600円",,"通勤手当：月額 60,000円 60000 マイカー通勤可否：可 駐車場 なし 昇給：あり 賞与：なし ",上記時間内の７．５時間でシフト制・固定時間制、応相談。 休憩60分 時間外勤務：なし ,年間休日数 108日,,"
https://job-medley.com/cw/hw/5846657/"
社会福祉法人筑風会福浜保育園,福岡県福岡市中央区福浜１－１－５,"福岡県福岡市中央区福浜１－１－５
福岡市営地下鉄空港線 唐人町駅から徒歩で14分
福岡市営地下鉄空港線 大濠公園駅から徒歩で21分",主に０～２才児の保育１５０名／２８人～３０人で保育日常的な生活世話,,"月給 191,624円",,通勤手当： 日額 850円まで マイカー通勤可否：可 昇給： 賞与：なし ,(1)8時30分〜17時30分 (2)9時00分〜18時00分 (3)10時00分〜19時00分 休憩60分 時間外勤務：なし ,年間休日数 106日,,"
https://job-medley.com/cw/hw/5809285/"
社会福祉法人慈覚大師会壬生寺保育園,栃木県下都賀郡壬生町大師町５３－１５,"栃木県下都賀郡壬生町大師町５３－１５
東武宇都宮線 壬生駅から徒歩で20分","０歳～５歳児の乳幼児の保育業務（定員：１４０名）
＊登園時の受け入れ
＊おむつ交換や排泄補助
＊リトミック・体操・鍵盤ハーモニカ等の指導
＊給食・おやつの準備、片付け
＊午睡の準備・寝かしつけ
＊保育室等の清掃
等
※エプロンは各自で用意お願いします。
☆子供達と楽しくふれあいながら過ごしてください。",,"月給 191,600円 〜 204,400円",,"通勤手当： 毎月 15,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5883758/"
社会福祉法人慈覚大師会壬生寺第二保育園,栃木県下都賀郡壬生町大字北小林４６８番地,"栃木県下都賀郡壬生町大字北小林４６８番地
東武宇都宮線 安塚駅から徒歩で17分","０歳～５歳児の乳幼児の保育業務（定員：９０名）
＊登園時の受け入れ
＊おむつ交換や排泄補助
＊リトミック・体操・鍵盤ハーモニカ等の指導
＊給食・おやつの準備、片付け
＊午睡の準備・寝かしつけ
＊保育室等の清掃
等
※エプロンは各自で用意お願いします。
☆子供達と楽しくふれあいながら過ごしてください。",,"月給 191,600円 〜 204,400円",,"通勤手当： 毎月 15,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5883760/"
社会福祉法人東進東進ワールドキッズ守谷,茨城県守谷市松並１３８９－１,"茨城県守谷市松並１３８９－１
つくばエクスプレス 守谷駅から徒歩で13分
関東鉄道常総線 守谷駅から徒歩で13分","＊０歳児から５歳児の保育を担当していただきます。
子どもたちと楽しく遊びながら、挨拶や食事マナーなどの
生活習慣をしつけ、子どもの発達と自立を温かくサポート
するお仕事です。＊未経験の方、経験の浅い方も丁寧に研修しますので、安心
して応募ください。＊幅広い年齢層のスタッフが活躍中。子育て中のスタッフも
多く理解のある職場です。＊見学は随時受付中。",,"月給 191,600円 〜 298,900円",,"通勤手当： 毎月 35,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)10時00分〜19時00分 シフト制 休憩60分 時間外勤務：あり ,年間休日数 115日,,"
https://job-medley.com/cw/hw/5768958/"
社会福祉法人光恩福祉会東部幼光保育園,熊本県上益城郡嘉島町大字下六嘉１７５９,"熊本県上益城郡嘉島町大字下六嘉１７５９
熊本市電Ａ系統 健軍町駅から徒歩で29分",０～５歳児を担当をしていただきます。※保育日誌・個人記録・連絡帳・訓練や行事の計画案の記入を含め、子ども達とともに健やかに育つための支援全般（食事、排泄、身辺自立、遊びの援助、行事の進行等、保育業務全般に関わっていただきます。）※保育士・看護師・栄養士・調理師で協力し合い、子どもたちのために何ができるかを常に話し合いながら、子ども達が心身ともに健康で充実した園生活を送ることが出来るよう、保育活動に努めています。,,"月給 191,494円 〜 255,519円",,"通勤手当： 毎月 31,600円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時00分〜17時00分 (2)8時30分〜17時30分 (3)7時00分〜16時00分 （４）７：３０～１６：３０（５）９：３０～１８：３０勤務表による（１）～（５）の交替制 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5809761/"
社会福祉法人平安徳義会,京都府京都市西京区大原野灰方町２４９,"京都府京都市西京区大原野灰方町２４９
阪急京都本線 東向日駅から車で12分",児童養護施設で生活する子ども達（概ね２才～１８才）の日常のケアワーク（生活支援）,,"月給 191,400円 〜 215,930円",,"通勤手当： 毎月 50,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)13時20分〜22時00分 (2)6時30分〜15時10分 (3)8時30分〜17時10分 （４）１０：２０～１９：００（５）１５：２０～１０：１０／夜勤業務※求人に関する特記事項欄参照 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5765401/"
社会福祉法人小樽愛育会愛育保育園,北海道小樽市花園４丁目３番１４号,"北海道小樽市花園４丁目３番１４号
JR函館本線(小樽～旭川) 南小樽駅から徒歩で14分
JR函館本線(長万部～小樽) 小樽駅から徒歩で12分
JR函館本線(小樽～旭川) 小樽駅から徒歩で12分",保育業務全般・０歳から就学前までの保育業務＊定員７０名＊未経験の方の応募も歓迎致します,,"月給 191,400円",,"通勤手当： 毎月 24,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",平　日７：１５～１７：４５の間の７時間１５分土曜日７：１５～１２：４５又は１０：００～１５：３０の間の２時間３０分＊土曜日休憩無し 休憩60分 時間外勤務：あり ,年間休日数 98日,,"
https://job-medley.com/cw/hw/5759010/"
社会福祉法人友岡福祉協会白崎保育園,鹿児島県鹿屋市白崎町１５番１８号,"鹿児島県鹿屋市白崎町１５番１８号
JR日南線 志布志駅から車で36分",乳幼児の保育及び教育（園児数７８名）,,"月給 191,400円 〜 210,120円",,"通勤手当： 毎月 21,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜17時30分 (2)9時00分〜18時00分 週２回ずつ早番と遅番があります。 休憩60分 時間外勤務：なし ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5727796/"
株式会社スマイルクルー札幌支店,北海道札幌市中央区北１条東１丁目４－１サン経成ビル５０３,"北海道札幌市中央区北１条東１丁目４－１サン経成ビル５０３
札幌市営地下鉄東西線 バスセンター前駅から徒歩で7分
札幌市営地下鉄東西線 大通駅から徒歩で8分
札幌市営地下鉄南北線 大通駅から徒歩で8分",保育業務（クラス運営、行事担当、保護者対応等）をお願いします＊直営認定こども園（定員７２名）,,"月給 191,390円 〜 231,260円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,＊シフト制 休憩45分 時間外勤務：あり ,年間休日数 123日,,"
https://job-medley.com/cw/hw/5781590/"
社会福祉法人共生会ふたばホーム,東京都葛飾区白鳥３－２９－１６,"東京都葛飾区白鳥３－２９－１６
京成本線 お花茶屋駅から徒歩で12分
京成本線 青砥駅から徒歩で23分
京成押上線 青砥駅から徒歩で23分","母子の生活や子育てを支援しながら自立を促していく母子生活支援施設における支援員のお仕事。・お母さんや子どもたちの生活相談・保育・学習等の支援・行事の企画・運営、関係機関との連絡・調整など＊日々成長していく子どもたちを間近で見て感じられることが、
この仕事の大きなやりがいです。＊未経験の方でも現場経験を重ねながら丁寧に指導しますので、
安心してご応募ください。",,"月給 191,280円 〜 260,580円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時00分〜17時00分 (2)10時00分〜19時00分 (3)11時00分〜20時00分 （４）１１時～翌１２時３０分／休憩１２０分　（１）～（４）のシフト制。　＊宿直について特記事項欄参照。　＊就業時間についてはご相談に応じます。＊労働時間を固定とすることもできます。 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5863062/"
